x_steps,y_steps
200,50
200,2920
14550,50
14550,2920
7375,1485
200,53
200,80
200,154
200,297
200,520
200,821
200,1186
200,1589
200,1995
200,2365
200,2662
200,2854
382,2920
382,2854
382,2662
382,2365
382,1995
382,1589
382,1186
382,821
382,520
382,297
382,154
382,80
382,53
382,50
563,50
563,53
563,80
563,154
563,297
563,520
563,821
563,1186
563,1589
563,1995
563,2365
563,2662
563,2854
563,2920
745,2920
745,2854
745,2662
745,2365
745,1995
745,1589
745,1186
745,821
745,520
745,297
745,154
745,80
745,53
745,50
927,50
927,53
927,80
927,154
927,297
927,520
927,821
927,1186
927,1589
927,1995
927,2365
927,2662
927,2854
927,2920
1108,2920
1108,2854
1108,2662
1108,2365
1108,1995
1108,1589
1108,1186
1108,821
1108,520
1108,297
1108,154
1108,80
1108,53
1108,50
1290,50
1290,53
1290,80
1290,154
1290,297
1290,520
1290,821
1290,1186
1290,1589
1290,1995
1290,2365
1290,2662
1290,2854
1290,2920
1472,2920
1472,2854
1472,2662
1472,2365
1472,1995
1472,1589
1472,1186
1472,821
1472,520
1472,297
1472,154
1472,80
1472,53
1472,50
1653,50
1653,53
1653,80
1653,154
1653,297
1653,520
1653,821
1653,1186
1653,1589
1653,1995
1653,2365
1653,2662
1653,2854
1653,2920
1835,2920
1835,2854
1835,2662
1835,2365
1835,1995
1835,1589
1835,1186
1835,821
1835,520
1835,297
1835,154
1835,80
1835,53
1835,50
2016,50
2016,53
2016,80
2016,154
2016,297
2016,520
2016,821
2016,1186
2016,1589
2016,1995
2016,2365
2016,2662
2016,2854
2016,2920
2198,2920
2198,2854
2198,2662
2198,2365
2198,1995
2198,1589
2198,1186
2198,821
2198,520
2198,297
2198,154
2198,80
2198,53
2198,50
2380,50
2380,53
2380,80
2380,154
2380,297
2380,520
2380,821
2380,1186
2380,1589
2380,1995
2380,2365
2380,2662
2380,2854
2380,2920
2561,2920
2561,2854
2561,2662
2561,2365
2561,1995
2561,1589
2561,1186
2561,821
2561,520
2561,297
2561,154
2561,80
2561,53
2561,50
2743,50
2743,53
2743,80
2743,154
2743,297
2743,520
2743,821
2743,1186
2743,1589
2743,1995
2743,2365
2743,2662
2743,2854
2743,2920
2925,2920
2925,2854
2925,2662
2925,2365
2925,1995
2925,1589
2925,1186
2925,821
2925,520
2925,297
2925,154
2925,80
2925,53
2925,50
3106,50
3106,53
3106,80
3106,154
3106,297
3106,520
3106,821
3106,1186
3106,1589
3106,1995
3106,2365
3106,2662
3106,2854
3106,2920
3288,2920
3288,2854
3288,2662
3288,2365
3288,1995
3288,1589
3288,1186
3288,821
3288,520
3288,297
3288,154
3288,80
3288,53
3288,50
3470,50
3470,53
3470,80
3470,154
3470,297
3470,520
3470,821
3470,1186
3470,1589
3470,1995
3470,2365
3470,2662
3470,2854
3470,2920
3651,2920
3651,2854
3651,2662
3651,2365
3651,1995
3651,1589
3651,1186
3651,821
3651,520
3651,297
3651,154
3651,80
3651,53
3651,50
3833,50
3833,53
3833,80
3833,154
3833,297
3833,520
3833,821
3833,1186
3833,1589
3833,1995
3833,2365
3833,2662
3833,2854
3833,2920
4015,2920
4015,2854
4015,2662
4015,2365
4015,1995
4015,1589
4015,1186
4015,821
4015,520
4015,297
4015,154
4015,80
4015,53
4015,50
4196,50
4196,53
4196,80
4196,154
4196,297
4196,520
4196,821
4196,1186
4196,1589
4196,1995
4196,2365
4196,2662
4196,2854
4196,2920
4378,2920
4378,2854
4378,2662
4378,2365
4378,1995
4378,1589
4378,1186
4378,821
4378,520
4378,297
4378,154
4378,80
4378,53
4378,50
4559,50
4559,53
4559,80
4559,154
4559,297
4559,520
4559,821
4559,1186
4559,1589
4559,1995
4559,2365
4559,2662
4559,2854
4559,2920
4741,2920
4741,2854
4741,2662
4741,2365
4741,1995
4741,1589
4741,1186
4741,821
4741,520
4741,297
4741,154
4741,80
4741,53
4741,50
4923,50
4923,53
4923,80
4923,154
4923,297
4923,520
4923,821
4923,1186
4923,1589
4923,1995
4923,2365
4923,2662
4923,2854
4923,2920
5104,2920
5104,2854
5104,2662
5104,2365
5104,1995
5104,1589
5104,1186
5104,821
5104,520
5104,297
5104,154
5104,80
5104,53
5104,50
5286,50
5286,53
5286,80
5286,154
5286,297
5286,520
5286,821
5286,1186
5286,1589
5286,1995
5286,2365
5286,2662
5286,2854
5286,2920
5468,2920
5468,2854
5468,2662
5468,2365
5468,1995
5468,1589
5468,1186
5468,821
5468,520
5468,297
5468,154
5468,80
5468,53
5468,50
5649,50
5649,53
5649,80
5649,154
5649,297
5649,520
5649,821
5649,1186
5649,1589
5649,1995
5649,2365
5649,2662
5649,2854
5649,2920
5831,2920
5831,2854
5831,2662
5831,2365
5831,1995
5831,1589
5831,1186
5831,821
5831,520
5831,297
5831,154
5831,80
5831,53
5831,50
6013,50
6013,53
6013,80
6013,154
6013,297
6013,520
6013,821
6013,1186
6013,1589
6013,1995
6013,2365
6013,2662
6013,2854
6013,2920
6194,2920
6194,2854
6194,2662
6194,2365
6194,1995
6194,1589
6194,1186
6194,821
6194,520
6194,297
6194,154
6194,80
6194,53
6194,50
6376,50
6376,53
6376,80
6376,154
6376,297
6376,520
6376,821
6376,1186
6376,1589
6376,1995
6376,2365
6376,2662
6376,2854
6376,2920
6558,2920
6558,2854
6558,2662
6558,2365
6558,1995
6558,1589
6558,1186
6558,821
6558,520
6558,297
6558,154
6558,80
6558,53
6558,50
6739,50
6739,53
6739,80
6739,154
6739,297
6739,520
6739,821
6739,1186
6739,1589
6739,1995
6739,2365
6739,2662
6739,2854
6739,2920
6921,2920
6921,2854
6921,2662
6921,2365
6921,1995
6921,1589
6921,1186
6921,821
6921,520
6921,297
6921,154
6921,80
6921,53
6921,50
7103,50
7103,53
7103,80
7103,154
7103,297
7103,520
7103,821
7103,1186
7103,1589
7103,1995
7103,2365
7103,2662
7103,2854
7103,2920
7284,2920
7284,2854
7284,2662
7284,2365
7284,1995
7284,1589
7284,1186
7284,821
7284,520
7284,297
7284,154
7284,80
7284,53
7284,50
7466,50
7466,53
7466,80
7466,154
7466,297
7466,520
7466,821
7466,1186
7466,1589
7466,1995
7466,2365
7466,2662
7466,2854
7466,2920
7647,2920
7647,2854
7647,2662
7647,2365
7647,1995
7647,1589
7647,1186
7647,821
7647,520
7647,297
7647,154
7647,80
7647,53
7647,50
7829,50
7829,53
7829,80
7829,154
7829,297
7829,520
7829,821
7829,1186
7829,1589
7829,1995
7829,2365
7829,2662
7829,2854
7829,2920
8011,2920
8011,2854
8011,2662
8011,2365
8011,1995
8011,1589
8011,1186
8011,821
8011,520
8011,297
8011,154
8011,80
8011,53
8011,50
8192,50
8192,53
8192,80
8192,154
8192,297
8192,520
8192,821
8192,1186
8192,1589
8192,1995
8192,2365
8192,2662
8192,2854
8192,2920
8374,2920
8374,2854
8374,2662
8374,2365
8374,1995
8374,1589
8374,1186
8374,821
8374,520
8374,297
8374,154
8374,80
8374,53
8374,50
8556,50
8556,53
8556,80
8556,154
8556,297
8556,520
8556,821
8556,1186
8556,1589
8556,1995
8556,2365
8556,2662
8556,2854
8556,2920
8737,2920
8737,2854
8737,2662
8737,2365
8737,1995
8737,1589
8737,1186
8737,821
8737,520
8737,297
8737,154
8737,80
8737,53
8737,50
8919,50
8919,53
8919,80
8919,154
8919,297
8919,520
8919,821
8919,1186
8919,1589
8919,1995
8919,2365
8919,2662
8919,2854
8919,2920
9101,2920
9101,2854
9101,2662
9101,2365
9101,1995
9101,1589
9101,1186
9101,821
9101,520
9101,297
9101,154
9101,80
9101,53
9101,50
9282,50
9282,53
9282,80
9282,154
9282,297
9282,520
9282,821
9282,1186
9282,1589
9282,1995
9282,2365
9282,2662
9282,2854
9282,2920
9464,2920
9464,2854
9464,2662
9464,2365
9464,1995
9464,1589
9464,1186
9464,821
9464,520
9464,297
9464,154
9464,80
9464,53
9464,50
9646,50
9646,53
9646,80
9646,154
9646,297
9646,520
9646,821
9646,1186
9646,1589
9646,1995
9646,2365
9646,2662
9646,2854
9646,2920
9827,2920
9827,2854
9827,2662
9827,2365
9827,1995
9827,1589
9827,1186
9827,821
9827,520
9827,297
9827,154
9827,80
9827,53
9827,50
10009,50
10009,53
10009,80
10009,154
10009,297
10009,520
10009,821
10009,1186
10009,1589
10009,1995
10009,2365
10009,2662
10009,2854
10009,2920
10191,2920
10191,2854
10191,2662
10191,2365
10191,1995
10191,1589
10191,1186
10191,821
10191,520
10191,297
10191,154
10191,80
10191,53
10191,50
10372,50
10372,53
10372,80
10372,154
10372,297
10372,520
10372,821
10372,1186
10372,1589
10372,1995
10372,2365
10372,2662
10372,2854
10372,2920
10554,2920
10554,2854
10554,2662
10554,2365
10554,1995
10554,1589
10554,1186
10554,821
10554,520
10554,297
10554,154
10554,80
10554,53
10554,50
10735,50
10735,53
10735,80
10735,154
10735,297
10735,520
10735,821
10735,1186
10735,1589
10735,1995
10735,2365
10735,2662
10735,2854
10735,2920
10917,2920
10917,2854
10917,2662
10917,2365
10917,1995
10917,1589
10917,1186
10917,821
10917,520
10917,297
10917,154
10917,80
10917,53
10917,50
11099,50
11099,53
11099,80
11099,154
11099,297
11099,520
11099,821
11099,1186
11099,1589
11099,1995
11099,2365
11099,2662
11099,2854
11099,2920
11280,2920
11280,2854
11280,2662
11280,2365
11280,1995
11280,1589
11280,1186
11280,821
11280,520
11280,297
11280,154
11280,80
11280,53
11280,50
11462,50
11462,53
11462,80
11462,154
11462,297
11462,520
11462,821
11462,1186
11462,1589
11462,1995
11462,2365
11462,2662
11462,2854
11462,2920
11644,2920
11644,2854
11644,2662
11644,2365
11644,1995
11644,1589
11644,1186
11644,821
11644,520
11644,297
11644,154
11644,80
11644,53
11644,50
11825,50
11825,53
11825,80
11825,154
11825,297
11825,520
11825,821
11825,1186
11825,1589
11825,1995
11825,2365
11825,2662
11825,2854
11825,2920
12007,2920
12007,2854
12007,2662
12007,2365
12007,1995
12007,1589
12007,1186
12007,821
12007,520
12007,297
12007,154
12007,80
12007,53
12007,50
12189,50
12189,53
12189,80
12189,154
12189,297
12189,520
12189,821
12189,1186
12189,1589
12189,1995
12189,2365
12189,2662
12189,2854
12189,2920
12370,2920
12370,2854
12370,2662
12370,2365
12370,1995
12370,1589
12370,1186
12370,821
12370,520
12370,297
12370,154
12370,80
12370,53
12370,50
12552,50
12552,53
12552,80
12552,154
12552,297
12552,520
12552,821
12552,1186
12552,1589
12552,1995
12552,2365
12552,2662
12552,2854
12552,2920
12734,2920
12734,2854
12734,2662
12734,2365
12734,1995
12734,1589
12734,1186
12734,821
12734,520
12734,297
12734,154
12734,80
12734,53
12734,50
12915,50
12915,53
12915,80
12915,154
12915,297
12915,520
12915,821
12915,1186
12915,1589
12915,1995
12915,2365
12915,2662
12915,2854
12915,2920
13097,2920
13097,2854
13097,2662
13097,2365
13097,1995
13097,1589
13097,1186
13097,821
13097,520
13097,297
13097,154
13097,80
13097,53
13097,50
13278,50
13278,53
13278,80
13278,154
13278,297
13278,520
13278,821
13278,1186
13278,1589
13278,1995
13278,2365
13278,2662
13278,2854
13278,2920
13460,2920
13460,2854
13460,2662
13460,2365
13460,1995
13460,1589
13460,1186
13460,821
13460,520
13460,297
13460,154
13460,80
13460,53
13460,50
13642,50
13642,53
13642,80
13642,154
13642,297
13642,520
13642,821
13642,1186
13642,1589
13642,1995
13642,2365
13642,2662
13642,2854
13642,2920
13823,2920
13823,2854
13823,2662
13823,2365
13823,1995
13823,1589
13823,1186
13823,821
13823,520
13823,297
13823,154
13823,80
13823,53
13823,50
14005,50
14005,53
14005,80
14005,154
14005,297
14005,520
14005,821
14005,1186
14005,1589
14005,1995
14005,2365
14005,2662
14005,2854
14005,2920
14187,2920
14187,2854
14187,2662
14187,2365
14187,1995
14187,1589
14187,1186
14187,821
14187,520
14187,297
14187,154
14187,80
14187,53
14187,50
14368,50
14368,53
14368,80
14368,154
14368,297
14368,520
14368,821
14368,1186
14368,1589
14368,1995
14368,2365
14368,2662
14368,2854
14368,2920
14550,2854
14550,2662
14550,2365
14550,1995
14550,1589
14550,1186
14550,821
14550,520
14550,297
14550,154
14550,80
14550,53
